regulation_id,from_section_id,referenced_document,referenced_section_hint,reference_type,description
APG-223,APG-223-S1,APS 220,Prudential Standard APS 220 Credit Risk Management,supplements,This PPG should be read in conjunction with APS 220 Credit Risk Management.
APG-223,APG-223-S1,CPS 220,Prudential Standard CPS 220 Risk Management,supplements,This PPG should be read in conjunction with CPS 220 Risk Management.
APG-223,APG-223-S1,CPG 220,Prudential Practice Guide CPG 220 Risk Management,supplements,This PPG should be read in conjunction with CPG 220 Risk Management.
APG-223,APG-223-S1,CPS 510,Prudential Standard CPS 510 Governance,supplements,This PPG should be read in conjunction with CPS 510 Governance.
APG-223,APG-223-S3,CPS 220,Risk management framework requirements,requires,"Consistent with CPS 220, where residential mortgage lending is material, the Board and senior management should specifically address it in the risk management framework."
APG-223,APG-223-S3,CPS 510,Paragraph 57 of CPS 510 — remuneration policy scope,requires,"CPS 510 requires the Board-approved remuneration policy to be aligned with prudent risk-taking and to apply to responsible persons, risk and financial control personnel and all other persons whose activities may affect the financial soundness of the institution."
APG-223,APG-223-S3,CPG 235,Prudential Practice Guide CPG 235 Managing Data Risk,elaborates,CPG 235 provides guidance on managing data risk relevant to management information systems for residential mortgage lending.
APG-223,APG-223-S4,APS 220,Attachment C of APS 220 — minimum interest rate buffer of at least 3.0 per cent,requires,"Under Attachment C of APS 220, ADIs must apply a buffer over a loan's interest rate of at least 3.0 per cent, unless determined otherwise by APRA."
APG-223,APG-223-S4,APS 112,Prudential Standard APS 112 Capital Adequacy: Standardised Approach to Credit Risk — standard vs non-standard loan classification,requires,APRA expects an ADI to have processes to determine whether loans approved through overrides would be treated as standard or non-standard loans for capital purposes under APS 112.
APG-223,APG-223-S4,CPS 231,Prudential Standard CPS 231 Outsourcing — ADI retains risk and responsibility for outsourced functions,requires,"As noted in CPS 231, an ADI retains both the risk and responsibility for material outsourced functions including origination and ongoing management of residential mortgage lending."
APG-223,APG-223-S6,APS 220,Attachment A of APS 220 — security valuation practices,requires,An ADI is required to have regard to the requirements governing security valuation practices as detailed in Attachment A of APS 220.
APG-223,APG-223-S7,APS 113,Paragraph 76 of Attachment A of APS 113 — definition of loan in default,elaborates,The definition of a residential mortgage loan in default for the purposes of triggering a full revaluation is referenced to paragraph 76 of Attachment A of APS 113.
APG-223,APG-223-S8,APS 110,Prudential Standard APS 110 Capital Adequacy — enterprise-wide stress testing as part of ICAAP,requires,"APS 110 requires ADIs to conduct enterprise-wide stress testing as part of internal capital planning, including development of loss expectations on material credit exposures such as residential mortgage lending."
APG-223,APG-223-S8,CPG 110,Prudential Practice Guide CPG 110 Internal Capital Adequacy Assessment Process and Supervisory Review — stress testing guidance,elaborates,CPG 110 provides guidance on approaches used for stress testing as part of the ICAAP.
